X,frankfurt_urban_n_vehicles.MA[2].tcp/rcvd seq
206.183788972042,4.65581e+07
206.184717897826,4.65587e+07
206.18585682361,4.65592e+07
206.186424749394,4.65597e+07
206.18935845253,4.65603e+07
206.358492609354,4.65608e+07
206.358961535138,4.65608e+07
206.360477398427,4.65613e+07
206.361487324211,4.65619e+07
206.362001249995,4.65624e+07
206.363101175779,4.65629e+07
206.364464027347,4.65635e+07
206.365491953131,4.6564e+07
206.366555878915,4.65645e+07
206.367628804699,4.65651e+07
206.368575730483,4.65656e+07
206.369684656267,4.65661e+07
206.370315582051,4.65667e+07
206.370856507835,4.65672e+07
206.371334433619,4.65678e+07
206.428380436045,4.65683e+07
206.429651361829,4.65688e+07
206.430977213397,4.65694e+07
206.432185139181,4.65699e+07
206.433204064965,4.65704e+07
206.433672990749,4.6571e+07
206.436102842317,4.65715e+07
206.436751768101,4.6572e+07
206.438195619669,4.65726e+07
206.439322545453,4.65731e+07
206.440728385802,4.65736e+07
206.441855311586,4.65742e+07
206.44242323737,4.65747e+07
206.443397163154,4.65753e+07
206.497491399447,4.65758e+07
206.499333098185,4.65763e+07
206.500424023968,4.65769e+07
206.50111794975,4.65774e+07
206.50272095415,4.65779e+07
206.503802879932,4.65785e+07
206.505700731502,4.6579e+07
206.506728657284,4.65795e+07
206.507792583066,4.65801e+07
206.51019443463,4.65806e+07
206.511285360412,4.65812e+07
206.512313286194,4.65817e+07
206.513413211976,4.65822e+07
206.514525137758,4.65828e+07
206.580692679848,4.65833e+07
206.58124260563,4.65838e+07
