X,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq,frankfurt_urban_n_vehicles.MA[1].tcp/rcvd seq_0
109.243834554094,2.68523e+07,
109.24435948402,2.68523e+07,
109.244938413946,2.68523e+07,
109.245364343872,2.68523e+07,
109.246203203724,2.68523e+07,
109.24687213365,2.68523e+07,
109.248055063576,2.68523e+07,
109.248705993502,2.68523e+07,
109.249230923428,2.68523e+07,
109.30356010699,2.68523e+07,
109.305174418042,2.68523e+07,
109.305846334996,2.68523e+07,
109.38556757428,2.68524e+07,
109.386968491234,2.68524e+07,
109.388486408188,2.68524e+07,
109.389199325142,2.68524e+07,
109.389921242096,2.68524e+07,
109.39065215905,2.68524e+07,
109.391321076004,2.68524e+07,
109.394558746119,2.68524e+07,
109.395002663073,2.68524e+07,
109.395626580027,2.68524e+07,
109.396232496981,2.68524e+07,
109.396649413935,2.68524e+07,
109.397508577728,2.68524e+07,
109.398105494682,2.68524e+07,
109.454680693776,2.68524e+07,
109.45603406193,2.68524e+07,
109.457577965944,2.68524e+07,
109.536359185963,2.68525e+07,
109.537667077327,2.68525e+07,
109.539216993991,2.68525e+07,
109.539741885355,2.68525e+07,
109.540338776719,2.68525e+07,
109.540944668083,2.68525e+07,
109.541586559447,2.68525e+07,
109.543693514061,2.68525e+07,
109.544316418075,2.68525e+07,
109.545439322089,2.68525e+07,
109.545892213453,2.68525e+07,
109.547832130117,2.68525e+07,
109.549115034131,2.68525e+07,
109.549747925495,2.68525e+07,
109.605580280158,2.68525e+07,
109.606867622722,2.68525e+07,
109.607278501724,2.68525e+07,
109.686059703056,2.68526e+07,
109.687241582058,2.68526e+07,
109.68825646106,2.68526e+07,
109.688736340062,2.68526e+07,
109.689654219064,2.68526e+07,
109.691476977068,2.68526e+07,
109.69194785607,2.68526e+07,
109.692569735072,2.68526e+07,
109.693309614074,2.68526e+07,
109.694004493076,2.68526e+07,
109.694582372078,2.68526e+07,
109.69516025108,2.68526e+07,
109.695882130082,2.68526e+07,
109.696961009084,2.68526e+07,
109.755717785031,2.68526e+07,
109.756253115233,2.68526e+07,
109.756888982157,2.68526e+07,
109.835670165514,2.68527e+07,
109.837280020644,2.68527e+07,
109.838348875774,2.68527e+07,
109.839417730904,2.68527e+07,
109.839951586034,2.68527e+07,
109.840584441164,2.68527e+07,
109.841762296294,2.68527e+07,
109.843088233982,2.68527e+07,
109.843747100906,2.68527e+07,
109.84429796783,2.68527e+07,
109.846293834754,2.68527e+07,
109.847741689884,2.68527e+07,
